,날짜,경제심리지수(순환변동치),뉴스심리지수,소비자심리지수,외국인 보유금액(조),외환보유액(천달러),미국M2,한국M2(십억원),한국금리,미국금리,경상수지,원달러종가,원달러시가
0,10-Jan,113.6,112.74,116.5,281.9,268917449 ,8479.15,1574215.8,2,0.13,1776.4,1156.5,1166.08
1,10-Feb,114.3,104.8,114,277.6,265865270 ,8487.28,1595403.8,2,0.13,322.4,1158.4,1159.8
2,10-Mar,114.7,107.75,113.9,300.8,267567135 ,8566.14,1607896.1,2,0.13,917.1,1130.8,1158
3,10-Apr,115,110.18,113.6,315.8,274143774 ,8611.55,1621176.9,2,0.13,796.9,1115.5,1129.95
4,10-May,115.1,107.73,113.7,294.4,265595927 ,8577.66,1630904.7,2,0.13,6650.4,1200.2,1109.05
5,10-Jun,115.2,109.58,115.4,301.9,269823186 ,8608.95,1647981.2,2,0.13,3751.1,1210.3,1203.5
6,10-Jul,115.1,108.36,115.3,316.6,281425964 ,8577.85,1653057.5,2.25,0.13,3549.3,1187.2,1226.9
7,10-Aug,114.8,104.6,113,311,280857511 ,8601.76,1653907.2,2.25,0.13,3758.1,1189.1,1181.6
8,10-Sep,114.3,108.9,111.9,335.6,285152504 ,8650.6,1659400.1,2.25,0.13,4207.4,1142,1198.5
9,10-Oct,113.8,107.69,111.5,340.4,288674448 ,8703.73,1669376.6,2.25,0.13,4265.4,1126.6,1139.5
10,10-Nov,113.2,109.48,114.7,351.1,285668556 ,8762.36,1679909.9,2.5,0.13,3897.5,1157.3,1121.16
11,10-Dec,112.5,110.82,113.5,386.2,286926356 ,8852.38,1682871.9,2.5,0.13,1743.9,1138.9,1158
12,11-Jan,111.7,113.72,112.1,387.8,291028707 ,8853.06,1676448.8,2.75,0.13,3159.6,1114.3,1120.85
13,11-Feb,110.9,103.43,109.8,363.6,292722582 ,8887.13,1674390.5,2.75,0.13,1344.9,1127.9,1119.35
14,11-Mar,110.1,96.75,98.8,395.2,293641562 ,8998.9,1677475.9,3,0.13,2438.3,1107.2,1127.4
15,11-Apr,109.5,106.71,100.9,411.8,302098558 ,9064.6,1684792.3,3,0.13,2545.2,1072.3,1098.35
16,11-May,108.8,103.41,104.6,401.7,299530652 ,9018.34,1690543,3,0.13,1247.2,1080.6,1070.25
17,11-Jun,108.2,100.66,102.2,392.3,298902963 ,9102.98,1697204.2,3.25,0.13,1321.8,1078.1,1077.6
18,11-Jul,107.6,107.22,102.6,398.3,303942058 ,9238.33,1705451.5,3.25,0.13,3938.8,1052.6,1067.5
19,11-Aug,106.9,87.73,98,349.8,305079571 ,9444.98,1719437.8,3.25,0.13,4470.5,1071.7,1052.5
20,11-Sep,106.2,90.13,97.3,338.8,296321672 ,9497.65,1729531.1,3.25,0.13,2996.3,1179.5,1066.9
