,시점,KRW/USD,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,"M2(말잔, 원계열)",미국M2,USBIR,KOBIR,KOTN,USTN,달러결제수출금액,달러결제수입금액,달러결제수출비율,달러결제수입비율,한국생산자물가지수,미국생산자물가지수,한국외환보유액,미국외환보유액,한국실업률,미국실업률,KOSPI,Dow Jones
0,200501,1006,95.3,106.39,125,951377.5,6404.1,2.25,3.25,4.42,4.128,18478.7,15159.4,82.3,77.9,86.59,83.65,199699,85425,3.8,5.3,932.7,10489.94
1,200502,1015.5,108.1,110.62,121,970720,6405.7,2.5,3.25,4.88,4.377,16918.5,14327.2,82.9,77.9,86.77,84.04,202162,79780,3.7,5.4,1011.36,10766.23
2,200503,997.1,110.9,103.98,124,970629.1,6464.9,2.75,3.25,4.77,4.481,19646.9,17966.4,82,78.9,86.85,85.2,205447,79029,3.7,5.2,965.68,10503.76
3,200504,1007.7,110.4,100.87,126,987882.7,6508.3,2.75,3.25,4.69,4.198,18863.2,16692.5,82.5,78.6,87.09,85.93,206376,79483,3.7,5.2,911.3,10192.51
4,200505,1025.4,103.8,101.94,116,987197.7,6459.8,3,3.25,4.42,3.981,19091.2,16888.4,82.6,79.8,86.52,85.54,206100,78027,3.7,5.1,970.21,10467.48
5,200506,1026.8,102.1,102.04,111,999795.4,6511.8,3.25,3.25,4.46,3.913,19562.3,16867.7,82.5,79.2,86.13,85.54,204986,77110,3.8,5,1008.16,10274.97
6,200507,1038.5,99.1,108.8,111,1006793.7,6530.7,3.25,3.25,4.89,4.276,19358.2,17098.1,83.3,79.5,86.66,86.65,205685,76588,3.7,5,1111.29,10640.91
7,200508,1041.1,103.3,97.81,116,1004054,6555.0,3.5,3.25,5.08,4.014,19720.7,17541.8,84.5,79.7,86.9,87.37,206712,72794,3.7,4.9,1083.33,10481.6
8,200509,1040.2,106.7,109.38,115,1004087.9,6587.7,3.75,3.25,5.15,4.324,20627.7,18051.3,84.1,79.5,87.28,89.92,206731,71428,4,5,1221.01,10568.7
9,200510,1033.5,105.4,105.65,112,1003063.3,6615.0,3.75,3.5,5.36,4.551,20979.3,18081.7,82.7,79.8,87.51,92.13,207307,70911,3.9,5,1158.11,10440.07
10,200511,1011.6,109.3,117.05,113,1014142.4,6655.7,4,3.5,5.68,4.484,21368.4,19221.7,82.7,80.6,87.26,90.75,208230,68790,3.6,5,1297.44,10805.87
11,200512,964.6,112.3,115.34,107,1021448.7,6708.9,4.25,3.75,5.6,4.391,21308.6,19352.8,83.1,80,87.01,90.36,210391,64473,3.5,4.9,1379.37,10717.5
12,200601,970.9,114.9,112.09,109,1024480.2,6707.1,4.5,3.75,5.58,4.515,19084.7,19099.2,82.1,82.7,87.31,91.08,216933,65622,3.4,4.7,1399.83,10864.86
13,200602,971.6,116.4,100.82,112,1035663.8,6724.2,4.5,4,5.28,4.551,19877,18941.2,83.6,80.6,87.35,89.7,215950,64959,3.5,4.8,1371.59,10993.41
