"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 26","964.88","963.75","965.38","963.00","","-0.01%"
"2023- 09- 25","965.00","983.00","987.38","959.13","","-1.78%"
"2023- 09- 22","982.50","982.25","1,001.75","970.50","66.25K","-2.43%"
"2023- 09- 21","1,007.00","961.00","1,014.75","957.00","136.86K","4.51%"
"2023- 09- 20","963.50","988.75","991.75","954.00","96.53K","-1.33%"
"2023- 09- 19","976.50","963.00","994.00","953.00","106.52K","0.88%"
"2023- 09- 18","968.00","989.50","994.75","953.50","103.60K","-2.00%"
"2023- 09- 15","987.75","1,006.00","1,018.00","982.00","84.28K","-2.25%"
"2023- 09- 14","1,010.50","996.25","1,017.50","985.25","96.70K","2.10%"
"2023- 09- 13","989.75","970.00","997.75","967.75","85.25K","-2.17%"
"2023- 09- 12","1,011.75","1,006.25","1,012.25","999.00","1.29K","0.00%"
"2023- 09- 11","1,011.75","979.75","1,020.00","971.75","27.97K","2.33%"
"2023- 09- 08","988.75","952.50","991.25","948.75","43.62K","4.69%"
"2023- 09- 07","944.50","942.00","955.25","932.25","35.21K","1.48%"
"2023- 09- 06","930.75","955.50","956.75","927.50","33.00K","-2.21%"
"2023- 09- 05","951.75","926.75","962.00","917.00","44.02K","3.14%"
"2023- 09- 04","922.75","917.25","929.75","912.50","24.19K","0.68%"
"2023- 09- 01","916.50","908.50","929.00","907.50","35.61K","2.35%"
"2023- 08- 31","895.50","898.50","910.50","885.75","42.14K","0.06%"
"2023- 08- 30","895.00","932.00","937.50","893.00","50.77K","-3.82%"
"2023- 08- 29","930.50","929.50","942.50","920.25","38.41K","-1.77%"
"2023- 08- 28","947.25","960.00","962.00","928.00","30.12K","0.48%"
"2023- 08- 25","942.75","920.00","968.25","916.25","65.60K","2.84%"
"2023- 08- 24","916.75","905.75","920.25","900.00","54.81K","0.41%"
"2023- 08- 23","913.00","911.25","919.50","898.50","51.74K","-0.14%"
"2023- 08- 22","914.25","905.50","917.50","896.75","48.29K","-0.08%"
"2023- 08- 21","915.00","920.25","930.00","902.50","60.64K","-0.16%"
"2023- 08- 18","916.50","902.50","923.00","896.75","80.15K","1.72%"
"2023- 08- 17","901.00","879.00","909.00","875.75","69.75K","2.13%"
"2023- 08- 16","882.25","881.25","892.25","877.50","65.88K","-0.08%"
