"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 25","84.89","85.95","85.95","84.77","14.09K","-0.48%"
"2023- 09- 22","85.30","83.94","86.05","83.65","18.47K","1.03%"
"2023- 09- 21","84.43","82.70","84.61","81.70","16.17K","2.02%"
"2023- 09- 20","82.76","81.60","82.97","80.51","18.19K","1.80%"
"2023- 09- 19","81.30","80.97","81.69","80.55","12.94K","0.52%"
"2023- 09- 18","80.88","82.18","82.65","80.74","16.52K","-1.49%"
"2023- 09- 15","82.10","82.88","84.09","81.86","14.31K","-1.00%"
"2023- 09- 14","82.93","83.71","84.07","82.45","14.48K","-0.99%"
"2023- 09- 13","83.76","81.25","83.83","80.57","22.49K","3.25%"
"2023- 09- 12","81.12","81.85","82.41","80.98","17.50K","-0.75%"
"2023- 09- 11","81.73","81.79","82.51","81.36","13.80K","0.13%"
"2023- 09- 08","81.62","83.52","84.00","81.28","17.11K","-2.01%"
"2023- 09- 07","83.29","83.67","84.28","82.67","16.85K","-0.49%"
"2023- 09- 06","83.70","83.95","84.81","83.11","15.69K","-0.25%"
"2023- 09- 05","83.91","84.18","84.81","83.60","16.54K","-0.20%"
"2023- 09- 04","84.08","85.63","85.63","83.75","13.97K","-1.82%"
"2023- 09- 01","85.64","86.03","86.32","85.00","11.95K","-0.45%"
"2023- 08- 31","86.03","86.10","87.28","85.58","11.31K","0.03%"
"2023- 08- 30","86.00","84.91","86.63","84.64","13.34K","1.18%"
"2023- 08- 29","85.00","85.72","86.49","84.52","12.48K","-0.70%"
"2023- 08- 28","85.60","85.40","86.50","84.79","8.13K","0.41%"
"2023- 08- 25","85.25","85.06","86.42","84.50","13.46K","0.05%"
"2023- 08- 24","85.21","87.35","87.35","85.10","18.77K","-3.17%"
"2023- 08- 23","88.00","89.96","90.23","87.35","19.87K","-2.23%"
"2023- 08- 22","90.01","87.85","90.39","87.76","19.57K","2.46%"
"2023- 08- 21","87.85","88.62","88.70","86.86","11.65K","-0.23%"
"2023- 08- 18","88.05","88.68","89.09","87.27","12.86K","-0.90%"
"2023- 08- 17","88.85","88.60","89.87","87.70","15.80K","0.30%"
"2023- 08- 16","88.58","87.64","88.89","87.35","15.60K","1.97%"
"2023- 08- 15","86.87","88.23","88.60","86.70","13.02K","-1.23%"
"2023- 08- 14","87.95","86.57","88.13","86.00","13.26K","1.32%"
"2023- 08- 11","86.80","84.90","86.92","84.00","10.94K","2.66%"
"2023- 08- 10","84.55","84.24","85.21","83.03","12.82K","0.77%"
"2023- 08- 09","83.90","84.34","85.82","83.50","17.02K","-0.08%"
"2023- 08- 08","83.97","82.70","84.47","82.31","14.58K","1.61%"
"2023- 08- 07","82.64","83.55","84.56","82.56","13.37K","-0.92%"
"2023- 08- 04","83.41","84.99","85.63","83.30","11.73K","-1.18%"
"2023- 08- 03","84.41","83.23","85.80","83.10","16.35K","1.45%"
"2023- 08- 02","83.20","84.65","84.99","83.01","21.26K","-1.68%"
"2023- 08- 01","84.62","86.85","87.83","84.40","22.39K","-2.52%"
"2023- 07- 31","86.81","88.34","89.42","86.37","15.97K","-2.13%"
"2023- 07- 28","88.70","90.92","90.92","88.16","16.24K","-2.44%"
"2023- 07- 27","90.92","90.79","91.28","89.23","15.51K","0.17%"
"2023- 07- 26","90.77","92.32","93.50","90.34","16.55K","-1.70%"
"2023- 07- 25","92.34","91.25","92.52","91.14","14.27K","1.15%"
"2023- 07- 24","91.29","91.82","92.59","90.53","14.37K","-0.58%"
"2023- 07- 21","91.82","90.80","92.30","90.33","14.12K","1.08%"
"2023- 07- 20","90.84","88.95","91.24","88.75","17.57K","2.09%"
"2023- 07- 19","88.98","88.10","89.40","87.05","15.48K","0.91%"
"2023- 07- 18","88.18","86.78","88.32","86.25","14.99K","1.61%"
"2023- 07- 17","86.78","85.93","86.81","85.18","12.73K","0.50%"
"2023- 07- 14","86.35","85.82","87.65","85.82","10.62K","0.55%"
"2023- 07- 13","85.88","85.86","86.96","85.32","11.32K","0.06%"
"2023- 07- 12","85.83","87.03","88.32","85.68","15.76K","-1.40%"
"2023- 07- 11","87.05","86.34","87.22","85.11","15.21K","0.92%"
"2023- 07- 10","86.26","86.16","87.17","85.48","12.70K","0.13%"
"2023- 07- 07","86.15","86.05","87.85","85.83","12.12K","-0.16%"
"2023- 07- 06","86.29","85.70","86.45","85.33","14.12K","0.56%"
