통계표,국제수지(BPM6),단위,변환,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07
"2.5.1.1. 국제수지","경상수지","백만달러","원자료","-1,776.4","-322.4","917.1","796.9","6,650.4","3,751.1","3,549.3","3,758.1","4,207.4","4,265.4","3,897.5","-1,743.9","-3,159.6","1,344.9","-2,438.3","-2,545.2","-1,247.2","1,321.8","3,938.8","4,470.5","2,996.3","3,572.4","6,645.7","1,738.1","-2,288.0","-2,584.0","3,580.0","-144.8","5,015.8","6,069.3","8,375.5","1,618.0","6,484.3","7,287.6","8,187.5","7,189.4","2,752.4","2,212.5","6,740.2","5,039.9","9,608.2","6,824.8","6,964.6","6,389.3","7,847.7","10,724.0","5,891.6","6,263.7","1,837.7","4,812.5","6,182.8","6,875.5","9,148.3","7,768.8","6,198.8","6,793.9","7,418.7","8,604.5","10,582.7","6,805.4","7,076.0","6,136.4","9,761.5","7,221.6","7,958.8","11,546.2","9,367.2","8,119.4","10,600.3","9,561.0","9,727.7","8,042.5","7,317.4","7,927.5","11,122.8","4,184.3","10,491.0","12,409.7","8,831.8","5,410.1","7,517.5","7,476.8","7,873.3","7,361.5","3,401.7","7,438.6","5,140.3","3,184.0","4,262.1","7,008.9","7,467.4","6,139.4","12,337.7","6,890.0","7,474.3","4,486.5","2,556.9","3,226.7","5,210.4","1,490.4","8,792.3","7,980.1","8,874.4","8,581.2","11,235.5","9,473.6","5,130.6","4,914.4","2,894.7","3,308.2","4,347.0","-527.4","4,983.2","6,166.1","6,957.2","4,983.5","8,014.3","8,035.8","5,876.6","4,636.9","184.5","6,708.2","5,825.8","-4,023.8","1,942.1","7,039.3","7,225.9","6,589.0","10,672.3","12,057.1","9,618.8","12,063.0","5,762.3","6,520.2","6,688.8","518.1","11,307.2","9,972.0","7,387.0","6,701.4","9,510.3","7,903.9","6,592.0","6,365.0","2,244.1","5,866.5","6,770.8","130.1","3,795.5","6,063.7","1,699.2","-2,912.1","2,089.0","1,629.7","-222.8","2,677.2","-4,212.3","-518.4","158.1","-792.6","1,927.2","5,873.7","3,578.8"
"2.5.1.1. 국제수지","  상품수지","백만달러","원자료","260.3","1,411.1","3,311.2","4,001.5","5,940.9","4,784.9","4,036.7","4,782.6","5,581.0","5,583.8","6,503.0","1,735.3","-581.6","2,581.8","180.7","312.1","-736.3","2,655.1","4,696.9","4,293.3","2,117.9","3,224.3","6,753.4","2,516.7","-1,774.7","-927.8","4,160.7","-328.3","3,255.3","5,272.5","7,601.7","1,998.2","6,143.0","7,361.8","8,551.3","7,275.6","3,766.1","3,077.7","6,898.9","5,314.8","9,172.1","5,502.5","7,232.6","7,012.2","8,338.5","9,536.0","7,817.1","6,590.5","3,674.4","5,930.7","7,450.3","9,833.7","8,560.9","6,088.3","5,421.5","6,749.3","8,012.6","7,730.6","9,364.2","7,328.5","6,718.7","6,870.5","10,495.9","11,734.5","8,584.8","12,773.4","10,181.4","8,652.3","12,026.3","10,843.3","10,448.6","10,945.3","8,255.0","8,143.3","13,316.3","9,893.3","10,237.7","12,413.1","10,486.8","6,791.0","9,894.6","8,874.9","9,453.1","8,702.6","6,687.5","9,432.3","8,579.6","10,925.8","7,675.6","8,702.4","9,920.7","8,647.3","14,522.7","9,417.9","11,165.6","7,915.5","7,338.0","4,793.3","9,216.5","9,402.2","10,550.2","9,413.5","10,685.3","10,927.6","13,105.2","10,522.2","7,504.9","6,627.9","5,880.0","5,418.5","8,429.1","5,545.8","5,717.8","6,361.5","6,814.9","4,819.3","8,937.8","8,541.7","7,748.2","5,597.5","1,882.9","6,586.7","6,966.4","488.2","2,191.1","5,760.3","6,907.5","6,998.0","12,016.6","10,234.3","9,969.8","10,603.0","5,451.9","5,831.1","7,680.8","4,876.2","6,416.5","7,551.7","5,783.2","6,194.1","9,543.3","6,041.8","5,926.2","4,434.1","1,542.8","4,353.2","5,569.2","3,129.0","2,951.4","3,844.9","-519.7","-4,141.2","754.9","-950.1","-998.5","-475.0","-7,321.2","-1,295.7","-1,234.8","581.0","1,815.0","3,984.6","4,280.2"
"2.5.1.1. 국제수지","    상품수출","백만달러","원자료","30,653.8","31,364.5","38,524.4","39,000.1","39,698.3","39,300.4","39,034.5","39,002.6","39,667.2","41,385.2","44,605.7","41,598.0","43,709.8","39,526.1","50,626.2","49,214.6","50,138.2","50,846.2","50,629.8","49,919.3","50,203.6","49,471.0","51,045.2","51,883.0","44,749.6","48,316.8","51,231.3","49,342.3","50,866.2","50,661.3","51,543.8","47,391.7","50,722.8","53,422.6","54,506.2","50,910.2","51,782.3","44,930.2","51,158.5","51,722.6","53,495.8","48,900.3","53,346.2","49,918.9","50,509.3","56,844.1","52,726.5","53,058.6","50,146.9","47,635.1","53,781.8","56,121.5","51,988.7","49,982.2","52,446.3","48,181.4","50,284.1","51,064.0","49,277.0","52,487.5","44,469.6","39,463.6","47,600.2","49,675.6","43,386.1","48,986.6","47,239.3","42,050.6","44,280.2","46,296.0","43,171.5","46,463.2","37,326.8","36,545.0","45,221.7","40,501.1","42,155.7","45,018.4","42,616.0","41,847.1","43,841.9","43,111.2","46,297.1","47,444.1","44,498.9","44,777.1","50,322.3","48,155.0","46,728.9","48,101.8","47,108.0","47,834.3","54,713.2","46,115.1","51,690.0","50,265.6","52,187.5","44,983.4","52,892.6","51,521.7","53,843.1","52,426.1","54,312.9","53,535.2","51,493.4","57,482.0","51,813.9","49,774.7","49,098.4","39,891.3","47,712.9","47,785.7","47,515.9","43,757.4","48,183.4","45,155.1","45,475.4","48,159.0","46,275.3","47,658.1","42,482.4","40,831.3","46,117.8","35,685.6","33,896.9","39,462.3","43,543.5","40,098.2","49,488.2","46,487.7","47,285.3","52,530.1","46,977.3","45,371.8","55,017.4","52,934.0","51,098.8","54,553.8","55,416.6","53,260.9","57,396.1","55,907.9","59,400.7","62,139.9","56,382.7","53,898.6","64,560.7","59,039.2","61,811.7","59,685.6","59,219.7","57,456.5","57,004.3","52,994.2","52,738.1","55,670.5","48,107.9","50,520.6","56,255.0","49,111.8","52,747.7","54,136.8","50,430.8"
"2.5.1.1. 국제수지","    상품수입(FOB)","백만달러","원자료","30,393.5","29,953.4","35,213.2","34,998.6","33,757.4","34,515.5","34,997.8","34,220.0","34,086.2","35,801.4","38,102.7","39,862.7","44,291.4","36,944.3","50,445.5","48,902.5","50,874.5","48,191.1","45,932.9","45,626.0","48,085.7","46,246.7","44,291.8","49,366.3","46,524.3","49,244.6","47,070.6","49,670.6","47,610.9","45,388.8","43,942.1","45,393.5","44,579.8","46,060.8","45,954.9","43,634.6","48,016.2","41,852.5","44,259.6","46,407.8","44,323.7","43,397.8","46,113.6","42,906.7","42,170.8","47,308.1","44,909.4","46,468.1","46,472.5","41,704.4","46,331.5","46,287.8","43,427.8","43,893.9","47,024.8","41,432.1","42,271.5","43,333.4","39,912.8","45,159.0","37,750.9","32,593.1","37,104.3","37,941.1","34,801.3","36,213.2","37,057.9","33,398.3","32,253.9","35,452.7","32,722.9","35,517.9","29,071.8","28,401.7","31,905.4","30,607.8","31,918.0","32,605.3","32,129.2","35,056.1","33,947.3","34,236.3","36,844.0","38,741.5","37,811.4","35,344.8","41,742.7","37,229.2","39,053.3","39,399.4","37,187.3","39,187.0","40,190.5","36,697.2","40,524.4","42,350.1","44,849.5","40,190.1","43,676.1","42,119.5","43,292.9","43,012.6","43,627.6","42,607.6","38,388.2","46,959.8","44,309.0","43,146.8","43,218.4","34,472.8","39,283.8","42,239.9","41,798.1","37,395.9","41,368.5","40,335.8","36,537.6","39,617.3","38,527.1","42,060.6","40,599.5","34,244.6","39,151.4","35,197.4","31,705.8","33,702.0","36,636.0","33,100.2","37,471.6","36,253.4","37,315.5","41,927.1","41,525.4","39,540.7","47,336.6","48,057.8","44,682.3","47,002.1","49,633.4","47,066.8","47,852.8","49,866.1","53,474.5","57,705.8","54,839.9","49,545.4","58,991.5","55,910.2","58,860.3","55,840.7","59,739.4","61,597.7","56,249.4","53,944.3","53,736.6","56,145.5","55,429.1","51,816.3","57,489.8","48,530.8","50,932.7","50,152.2","46,150.6"
"2.5.1.1. 국제수지","    일반상품수지","백만달러","원자료","-196.3","994.9","2,744.0","3,498.9","5,229.1","4,096.5","3,531.0","4,334.4","5,077.3","5,045.2","5,836.0","1,112.2","-992.5","2,086.4","-415.5","-173.7","-1,336.8","2,159.9","4,076.9","3,664.6","1,506.1","2,651.3","6,131.0","2,013.1","-2,451.9","-1,718.8","3,427.4","-1,258.9","2,202.2","4,314.9","6,491.3","902.6","4,997.1","6,306.0","7,409.0","6,293.2","2,437.0","2,084.5","5,842.7","4,088.1","7,832.2","4,282.0","5,909.3","5,841.7","7,042.0","8,258.6","6,682.6","5,380.0","2,242.9","4,672.4","5,950.6","8,113.3","6,940.1","4,694.7","4,824.0","6,180.0","7,508.5","7,230.0","8,930.4","6,774.4","6,134.7","6,362.3","9,865.5","10,819.8","7,959.0","12,154.7","9,733.8","8,005.0","11,430.4","10,029.7","9,754.3","10,344.1","7,398.4","7,427.0","12,203.1","8,837.1","9,064.5","11,273.7","9,600.4","5,603.5","9,082.2","8,349.0","9,054.0","8,197.2","5,909.8","8,765.3","7,755.5","10,040.5","6,706.0","7,717.6","9,474.9","8,508.6","13,453.9","8,324.5","9,893.6","6,404.6","6,324.6","4,023.2","8,317.6","8,483.9","9,625.9","8,564.6","9,634.9","9,876.1","11,784.5","8,819.7","6,011.3","5,201.3","4,734.7","4,512.1","7,249.5","4,427.8","4,484.9","5,296.1","5,382.3","3,732.4","7,449.1","6,663.6","6,134.6","3,778.9","344.0","5,380.6","5,542.4","-765.9","964.0","4,370.1","5,528.5","5,415.9","9,932.9","7,708.2","7,945.4","7,845.8","4,115.7","4,343.5","5,990.0","3,432.6","5,005.4","6,139.1","4,298.7","4,674.4","7,575.3","4,394.2","3,924.4","2,411.5","-44.2","2,671.5","3,070.5","956.3","772.9","1,583.6","-2,348.5","-6,111.9","-957.0","-3,228.2","-3,032.9","-2,243.5","-8,676.5","-2,741.8","-2,693.6","-715.2","360.7","2,775.9","3,122.1"
"2.5.1.1. 국제수지","      일반상품수출(FOB)","백만달러","원자료","30,065.7","30,837.3","37,846.3","38,355.3","38,872.9","38,476.8","38,388.3","38,402.2","39,035.4","40,729.2","43,837.7","40,851.0","43,158.9","38,911.8","49,907.8","48,587.8","49,422.3","50,212.9","49,883.0","49,136.3","49,454.5","48,755.3","50,306.6","51,257.3","43,959.7","47,397.9","50,373.6","48,267.3","49,686.1","49,577.2","50,318.1","46,192.5","49,457.2","52,254.5","53,240.3","49,836.7","50,332.1","43,819.2","49,990.1","50,371.2","52,018.6","47,581.8","51,926.7","48,651.4","49,105.5","55,447.7","51,488.6","51,764.5","48,610.8","46,276.0","52,164.2","54,281.5","50,271.9","48,496.3","51,729.8","47,524.6","49,664.3","50,438.8","48,749.1","51,841.0","43,791.9","38,867.2","46,868.7","48,662.3","42,664.1","48,264.4","46,653.1","41,297.3","43,580.7","45,404.0","42,375.3","45,777.7","36,410.9","35,781.0","44,057.6","39,390.3","40,930.5","43,812.1","41,658.1","40,574.4","42,955.2","42,511.6","45,747.1","46,845.2","43,660.5","44,038.1","49,442.5","47,186.7","45,695.7","47,047.6","46,092.9","46,839.4","53,554.0","44,971.8","50,365.0","48,665.0","51,076.4","44,152.5","51,920.0","50,541.8","52,845.9","51,490.3","53,152.3","52,357.8","50,084.1","55,701.7","50,258.3","48,285.0","47,881.1","38,947.8","46,469.4","46,612.7","46,211.5","42,626.5","46,690.6","43,964.6","43,908.8","46,182.7","44,595.9","45,749.9","40,876.4","39,558.5","44,626.8","34,390.6","32,635.3","38,024.2","42,077.1","38,409.6","47,333.2","43,873.9","45,180.2","49,648.4","45,441.0","43,676.7","53,011.2","51,187.3","49,480.5","52,970.2","53,752.1","51,593.3","55,347.1","54,079.7","57,242.3","59,779.9","54,619.5","52,095.0","61,985.5","56,778.3","59,535.2","57,298.9","57,285.2","55,410.4","55,225.1","50,652.6","50,659.0","53,822.9","46,669.9","49,033.3","54,744.8","47,766.0","51,236.9","52,870.1","49,188.8"
"2.5.1.1. 국제수지","      일반상품수입(FOB)","백만달러","원자료","30,262.0","29,842.4","35,102.3","34,856.4","33,643.8","34,380.3","34,857.3","34,067.8","33,958.1","35,684.0","38,001.7","39,738.8","44,151.4","36,825.4","50,323.3","48,761.5","50,759.1","48,053.0","45,806.1","45,471.7","47,948.4","46,104.0","44,175.6","49,244.2","46,411.6","49,116.7","46,946.2","49,526.2","47,483.9","45,262.3","43,826.8","45,289.9","44,460.1","45,948.5","45,831.3","43,543.5","47,895.1","41,734.7","44,147.4","46,283.1","44,186.4","43,299.8","46,017.4","42,809.7","42,063.5","47,189.1","44,806.0","46,384.5","46,367.9","41,603.6","46,213.6","46,168.2","43,331.8","43,801.6","46,905.8","41,344.6","42,155.8","43,208.8","39,818.7","45,066.6","37,657.2","32,504.9","37,003.2","37,842.5","34,705.1","36,109.7","36,919.3","33,292.3","32,150.3","35,374.3","32,621.0","35,433.6","29,012.5","28,354.0","31,854.5","30,553.2","31,866.0","32,538.4","32,057.7","34,970.9","33,873.0","34,162.6","36,693.1","38,648.0","37,750.7","35,272.8","41,687.0","37,146.2","38,989.7","39,330.0","36,618.0","38,330.8","40,100.1","36,647.3","40,471.4","42,260.4","44,751.8","40,129.3","43,602.4","42,057.9","43,220.0","42,925.7","43,517.4","42,481.7","38,299.6","46,882.0","44,247.0","43,083.7","43,146.4","34,435.7","39,219.9","42,184.9","41,726.6","37,330.4","41,308.3","40,232.2","36,459.7","39,519.1","38,461.3","41,971.0","40,532.4","34,177.9","39,084.4","35,156.5","31,671.3","33,654.1","36,548.6","32,993.7","37,400.3","36,165.7","37,234.8","41,802.6","41,325.3","39,333.2","47,021.2","47,754.7","44,475.1","46,831.1","49,453.4","46,918.9","47,771.8","49,685.5","53,317.9","57,368.4","54,663.7","49,423.5","58,915.0","55,822.0","58,762.3","55,715.3","59,633.7","61,522.3","56,182.1","53,880.8","53,691.9","56,066.4","55,346.4","51,775.1","57,438.4","48,481.2","50,876.2","50,094.2","46,066.7"
"2.5.1.1. 국제수지","    중계무역순수출","백만달러","원자료","319.8","334.5","439.3","430.2","421.4","495.6","430.1","453.4","467.0","451.9","468.6","513.9","359.9","352.8","438.0","398.9","455.7","518.6","439.7","453.0","438.7","436.3","413.5","440.5","578.0","581.4","604.3","846.7","989.5","778.9","969.7","880.3","938.3","966.4","1,056.4","897.4","1,302.3","919.4","1,036.6","1,238.5","1,376.7","1,234.4","1,319.9","1,189.2","1,286.6","1,328.0","1,150.2","1,227.4","1,482.2","1,264.3","1,510.0","1,717.4","1,615.7","1,384.1","655.2","569.8","558.3","547.7","458.8","533.4","608.4","548.4","677.7","935.8","658.8","653.3","516.9","672.8","593.8","749.5","726.5","615.8","843.8","681.4","1,081.3","979.3","1,109.0","1,093.1","819.7","1,155.6","801.4","494.9","488.2","552.3","790.6","702.0","825.3","926.6","987.0","1,014.6","979.6","925.3","1,096.6","1,093.8","1,280.4","1,571.3","1,076.8","793.9","943.3","930.5","962.2","896.7","1,126.0","1,148.6","1,377.5","1,739.9","1,496.1","1,364.1","1,122.9","807.0","1,105.2","1,090.2","1,262.7","1,066.4","1,439.9","1,150.5","1,466.8","1,919.3","1,633.8","1,874.0","1,491.2","981.6","1,282.9","1,056.6","1,044.1","1,348.9","1,431.3","1,565.4","1,996.8","2,536.7","2,017.3","2,807.3","1,482.1","1,653.3","1,965.7","1,711.5","1,541.0","1,508.2","1,622.9","1,576.8","1,962.2","1,765.5","2,100.9","2,322.4","1,694.9","1,690.1","2,293.2","2,109.7","2,188.1","2,319.6","1,870.8","1,934.6","1,632.7","2,261.4","2,007.0","1,786.8","1,371.0","1,370.0","1,258.7","1,015.2","1,250.0","1,175.8","1,174.0"
"2.5.1.1. 국제수지","    비화폐용금수지","백만달러","원자료","136.8","81.7","127.9","72.4","290.4","192.8","75.6","-5.2","36.7","86.7","198.4","109.2","51.0","142.6","158.2","86.9","144.8","-23.4","180.3","175.7","173.1","136.7","208.9","63.1","99.2","209.6","129.0","83.9","63.6","178.7","140.7","215.3","207.6","89.4","85.9","85.0","26.8","73.8","19.6","-11.8","-36.8","-13.9","3.4","-18.7","9.9","-50.6","-15.7","-16.9","-50.7","-6.0","-10.3","3.0","5.1","9.5","-57.7","-0.5","-54.2","-47.1","-25.0","20.7","-24.4","-40.2","-47.3","-21.1","-33.0","-34.6","-69.3","-25.5","2.1","64.1","-32.2","-14.6","12.8","34.9","31.9","76.9","64.2","46.3","66.7","31.9","11.0","31.0","-89.1","-46.9","-12.9","-35.0","-1.2","-41.3","-17.4","-29.8","-533.8","-786.6","-27.8","-0.4","-8.4","-60.4","-63.4","-23.8","-44.4","-12.2","-37.9","-47.8","-75.6","-97.1","-56.8","-37.4","-2.5","62.5","22.4","99.4","74.4","27.8","-29.8","-1.0","-7.3","-63.6","21.9","-41.2","-20.2","-55.4","47.7","224.5","141.1","197.5","183.0","41.3","-52.3","16.7","86.9","-10.6","7.1","-50.1","-145.9","-165.7","-274.9","-267.9","-129.9","-95.6","-138.4","-57.1","5.8","-117.9","-99.1","-299.8","-107.9","-8.4","205.5","63.0","-9.6","-58.3","-42.0","36.1","79.2","16.7","27.4","-18.3","-15.7","76.1","200.1","281.0","204.3","32.9","-15.9"
"2.5.1.1. 국제수지","      비화폐용금수출(FOB)","백만달러","원자료","268.3","192.7","238.8","214.6","404.0","328.0","216.1","147.0","164.8","204.1","299.4","233.1","191.0","261.5","280.4","227.9","260.2","114.7","307.1","330.0","310.4","279.4","325.1","185.2","211.9","337.5","253.4","228.3","190.6","305.2","256.0","318.9","327.3","201.7","209.5","176.1","147.9","191.6","131.8","112.9","100.5","84.1","99.6","78.3","117.2","68.4","87.7","66.7","53.9","94.8","107.6","122.6","101.1","101.8","61.3","87.0","61.5","77.5","69.1","113.1","69.3","48.0","53.8","77.5","63.2","68.9","69.3","80.5","105.7","142.5","69.7","69.7","72.1","82.6","82.8","131.5","116.2","113.2","138.2","117.1","85.3","104.7","61.8","46.6","47.8","37.0","54.5","41.7","46.2","39.6","35.5","69.6","62.6","49.5","44.6","29.3","34.3","37.0","29.3","49.4","35.0","39.1","34.6","28.8","31.8","40.4","59.5","125.6","94.4","136.5","138.3","82.8","41.7","64.5","52.9","40.0","99.8","57.0","45.6","34.2","114.8","291.2","208.1","238.4","217.5","89.2","35.1","123.2","158.2","77.1","87.8","74.4","54.2","41.8","40.5","35.2","77.3","75.4","41.6","90.8","86.8","62.7","57.5","37.6","68.3","113.5","282.0","151.2","88.4","67.1","63.7","111.5","146.5","80.2","72.1","60.8","67.0","117.3","251.5","330.6","260.8","90.9","68.0"
