"날짜","종가","시가","고가","저가","변동 %"
"2023- 09- 25","4.007","3.990","4.020","3.977","0.30%"
"2023- 09- 24","3.995","3.995","3.995","3.995","0.00%"
"2023- 09- 23","3.995","3.995","3.995","3.995","-0.50%"
"2023- 09- 22","4.015","4.072","4.075","4.012","-0.40%"
"2023- 09- 21","4.031","4.009","4.042","4.009","1.33%"
"2023- 09- 20","3.978","3.992","4.012","3.977","0.68%"
"2023- 09- 19","3.951","3.947","3.957","3.923","-0.80%"
"2023- 09- 18","3.983","3.967","3.990","3.965","0.91%"
"2023- 09- 17","3.947","3.927","3.947","3.927","0.00%"
"2023- 09- 16","3.947","3.927","3.947","3.927","0.48%"
"2023- 09- 15","3.928","3.924","3.930","3.897","0.28%"
"2023- 09- 14","3.917","3.928","3.932","3.896","-0.91%"
"2023- 09- 13","3.953","3.960","3.987","3.953","-0.23%"
"2023- 09- 12","3.962","3.973","3.975","3.942","-0.20%"
"2023- 09- 11","3.970","3.951","3.991","3.935","2.16%"
"2023- 09- 10","3.886","3.886","3.886","3.886","0.00%"
"2023- 09- 09","3.886","3.886","3.886","3.886","-0.26%"
"2023- 09- 08","3.896","3.930","3.938","3.881","-2.04%"
"2023- 09- 07","3.977","3.935","3.996","3.934","2.42%"
"2023- 09- 06","3.883","3.928","3.934","3.879","-0.13%"
"2023- 09- 05","3.888","3.884","3.908","3.853","0.83%"
"2023- 09- 04","3.856","3.819","3.857","3.811","2.01%"
"2023- 09- 03","3.780","3.780","3.780","3.780","0.00%"
"2023- 09- 02","3.780","3.780","3.780","3.780","0.11%"
"2023- 09- 01","3.776","3.791","3.796","3.761","-1.20%"
"2023- 08- 31","3.822","3.819","3.829","3.799","-0.62%"
"2023- 08- 30","3.846","3.808","3.855","3.805","0.34%"
"2023- 08- 29","3.833","3.846","3.855","3.816","-0.98%"
"2023- 08- 28","3.871","3.918","3.935","3.870","-1.58%"
"2023- 08- 27","3.933","3.933","3.933","3.933","0.00%"
"2023- 08- 26","3.933","3.933","3.933","3.933","-0.03%"
"2023- 08- 25","3.934","3.883","3.939","3.881","1.39%"
"2023- 08- 24","3.880","3.870","3.885","3.839","-0.84%"
"2023- 08- 23","3.913","3.967","3.967","3.913","-1.83%"
"2023- 08- 22","3.986","3.983","4.013","3.950","0.23%"
"2023- 08- 21","3.977","3.925","3.988","3.911","1.84%"
"2023- 08- 20","3.905","3.905","3.905","3.905","0.00%"
"2023- 08- 19","3.905","3.905","3.905","3.905","-0.33%"
"2023- 08- 18","3.918","3.952","3.972","3.913","-1.71%"
"2023- 08- 17","3.986","3.930","3.986","3.926","2.84%"
"2023- 08- 16","3.876","3.885","3.911","3.871","-0.62%"
"2023- 08- 15","3.900","3.900","3.900","3.900","0.54%"
"2023- 08- 14","3.879","3.872","3.889","3.866","1.54%"
"2023- 08- 13","3.820","3.820","3.820","3.820","0.00%"
"2023- 08- 12","3.820","3.820","3.820","3.820","-0.16%"
"2023- 08- 11","3.826","3.828","3.853","3.820","1.06%"
"2023- 08- 10","3.786","3.789","3.803","3.774","0.48%"
"2023- 08- 09","3.768","3.732","3.778","3.724","0.75%"
"2023- 08- 08","3.740","3.797","3.813","3.740","-1.89%"
"2023- 08- 07","3.812","3.800","3.818","3.787","-1.60%"
"2023- 08- 06","3.874","3.874","3.874","3.874","0.00%"
"2023- 08- 05","3.874","3.874","3.874","3.874","-0.15%"
"2023- 08- 04","3.880","3.876","3.895","3.847","1.25%"
"2023- 08- 03","3.832","3.824","3.843","3.788","0.87%"
"2023- 08- 02","3.799","3.764","3.813","3.764","2.04%"
"2023- 08- 01","3.723","3.734","3.743","3.713","-0.93%"
"2023- 07- 31","3.758","3.743","3.768","3.730","0.72%"
